study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,n_selected_genes,padj_celltype_BH,padj_global_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Zfp395,17.83980824107099,-0.038561511316505356,0.1757669454543148,0.6850368968249825,0.4078576639150572,0.7111658577324719,neuromesodermal.progenitors,9405,0.7111658577324719,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Elp3,54.6026781262814,0.014821566084655484,0.09752521684200735,0.43348396604972095,0.510284352294518,0.7303418690587243,neuromesodermal.progenitors,9405,0.7303418690587243,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Pbk,45.145029933665136,-0.15134506809122059,0.10563154067932061,2.88198779431562,0.08957538219461617,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Esco2,29.71028050420617,-0.10782538803573086,0.12368558370438777,1.3352735439304695,0.24786921127990863,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Ccdc25,72.18851137071022,-0.02075107284659069,0.0808112233332869,0.08694592902230625,0.7680962832987788,0.8263492958619325,neuromesodermal.progenitors,9405,0.8263492958619325,0.856514728082513
GSE250136,pseudobulk_deseq2,celltype_barcode,Trim35,51.62244700421657,-0.02138404111898591,0.09526400445820676,0.055983074288036505,0.8129613582494517,0.8507735144471007,neuromesodermal.progenitors,9405,0.8507735144471007,0.8740777146995957
GSE250136,pseudobulk_deseq2,celltype_barcode,Dpysl2,174.90137695962346,0.06008950809528484,0.06290988082442457,3.5116564718491077,0.06093849871242236,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Bnip3l,250.70407490824388,0.09953205085207206,0.08212603414815489,1.5597153349928021,0.21170690556395666,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Ppp2r2a,127.3499303065535,-0.06059627137153315,0.06708773384138404,0.8221739156251999,0.36454532979176374,0.7050652494204701,neuromesodermal.progenitors,9405,0.7050652494204701,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Cdca2,32.27467637497731,0.06379651092550342,0.1278855036689188,0.3034903519092893,0.5817025125047678,0.7504580475258665,neuromesodermal.progenitors,9405,0.7504580475258665,0.8266488139005208
GSE250136,pseudobulk_deseq2,celltype_barcode,Nefl,8.082710440438957,0.012695882376584705,0.2289097219999716,0.25894663274982577,0.6108447573822401,0.7592169873371174,neuromesodermal.progenitors,9405,0.7592169873371174,0.8278202919764882
GSE250136,pseudobulk_deseq2,celltype_barcode,Slc25a37,11.869830934025352,-0.24691819119492314,0.22439661901786437,1.2143183499245964,0.27047856702027856,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Loxl2,25.90465395593779,0.48915800062176223,0.2623658384245135,3.523589061912446,0.0605012996287237,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,R3hcc1,70.3970661663422,0.012361053539659272,0.08676041781469597,0.9024823517497396,0.34211697234276556,0.7024857103382193,neuromesodermal.progenitors,9405,0.7024857103382193,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Chmp7,11.784434569602048,-0.2523991868924426,0.19882373663662542,1.8560994363367627,0.17307565704189123,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Rhobtb2,6.845793290549647,0.07821898030814917,0.30326205507738363,1.0450382478142473,0.306652596891371,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Bin3,13.581999194016618,0.0077738254060061435,0.20053934884774474,0.8778781329144607,0.3487835009730661,0.7029331584052313,neuromesodermal.progenitors,9405,0.7029331584052313,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Ccar2,27.752161432120353,0.016485150693628325,0.1296822327723857,0.1340731560738675,0.7142456773196414,0.798939176402382,neuromesodermal.progenitors,9405,0.798939176402382,0.8415095348917289
