study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm47123,-0.10434908681255231,0.16447264111964663,0.18582445202644798,-0.5526577193988191,0,0.8252855355518451,0.799179694349202,0.8302573856703599,0.4375868997104773,1,1,0.9973060342687718,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,1700015C15Rik,-0.025768024093639454,1.8639144584494383,0,0,0,0.9968382396778425,0.774340898990583,1,1,1,1,0.9935390657625321,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Cdk20,-0.24260882138703987,-0.3469203987509421,-0.29824364783134455,0.19752521636012432,-0.766490676327258,0.20483162118999848,0.33236688798959013,0.5702735626279395,0.4690443010966381,0.3590948144016098,1,0.9586455697961136,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Mfsd14b,-0.0369296991089531,-8.548205582042579e-4,0.052367681147642,-0.015817423412873878,-1.4947763816336896,0.7289872942594169,0.9964028027964982,0.8413072700700637,0.9308440996980037,0.0705204598477331,1,1,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Nlrp4f,-0.7928634284847021,2.465823272174975,-0.9542606704811194,1.091669645836142,0,0.5456536813258546,0.0592917750148998,0.4010399059915883,0.40960056362727837,1,1,0.8765450477106844,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm36445,-0.1140005209202039,0.23875344942456186,0.3304338321006223,0.13059549315332764,-0.28590799474395096,0.6497049026048807,0.611357329856761,0.5524363311314088,0.7697472573352111,0.7333549922319624,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm10775,0.13341199942602655,2.410215547339184,0.40646136603897204,1.00443445471647,0,0.9647574809195398,0.42745691877005815,0.8938538015747126,0.7415365392197545,1,1,0.9774797425925329,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Zfp369,0.045362271324471355,-0.27164711175620815,0.25472156093438336,0.3041910191196801,-0.22948961716993344,0.7524112516714289,0.23802254190212743,0.4351194322699644,0.10396154695528532,0.7709820256038493,1,0.9351250269522533,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm7762,0.23581676681708152,0,0.10784806482663847,0,0,0.870334988545721,1,0.9334442302664968,1,1,1,1,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm40983,0,0,1.0387628126181014,0,0,1,1,0.7885187413172828,1,1,1,1,1,1,1
