study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,n_selected_genes,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Cep55,121.79626612013917,0.028478437605456666,0.07886223696189076,0.14530787631187536,0.7030602637683434,0.8713205897477228,12491,0.8713205897477228
GSE250136,pseudobulk_deseq2,sample_barcode,Rbp4,9.203112446096506,-0.2522526719466392,0.23156633718306258,1.1944972494210617,0.2744242812102945,0.7343290508459095,12491,0.7343290508459095
GSE250136,pseudobulk_deseq2,sample_barcode,Fra10ac1,253.49549296631233,4.530471573102935e-4,0.04461596256896247,0.017564515339444142,0.8945641574872167,0.9224062021807428,12491,0.9224062021807428
GSE250136,pseudobulk_deseq2,sample_barcode,Slc35g1,57.48887211908008,0.17873278143840213,0.09666144860184404,3.4923349112696656,0.06165356915576757,0.4457054094065181,12491,0.4457054094065181
GSE250136,pseudobulk_deseq2,sample_barcode,Plce1,50.12293469912361,0.05517611127326043,0.1161430413725823,0.23838986571408327,0.6253714647681097,0.8685467588269343,12491,0.8685467588269343
GSE250136,pseudobulk_deseq2,sample_barcode,Noc3l,151.26347260720954,-0.020078136805313715,0.06594940076220536,0.14421590032725362,0.7041252947481291,0.8713205897477228,12491,0.8713205897477228
GSE250136,pseudobulk_deseq2,sample_barcode,Tbc1d12,43.56499868133673,-0.05400377087623713,0.10303394654465796,0.3459250832835892,0.5564289554958389,0.8537494197989381,12491,0.8537494197989381
GSE250136,pseudobulk_deseq2,sample_barcode,Hells,939.2202658408697,0.1502343076803822,0.04340199398999219,11.994662620747647,5.335313436188519e-4,0.08126593270487145,12491,0.08126593270487145
GSE250136,pseudobulk_deseq2,sample_barcode,Pdlim1,61.25980774856581,0.06828130980110686,0.2451148588605704,0.08559279922215524,0.7698566032486122,0.8808293805041948,12491,0.8808293805041948
GSE250136,pseudobulk_deseq2,sample_barcode,Sorbs1,49.34808720329588,-0.0305273433184694,0.10836920044923933,0.17475849172308244,0.6759169536608501,0.870465300503903,12491,0.870465300503903
GSE250136,pseudobulk_deseq2,sample_barcode,Aldh18a1,161.34153066784847,-0.018649121153018453,0.06201514211081776,0.09913255443680669,0.7528730962450874,0.8779184924004427,12491,0.8779184924004427
GSE250136,pseudobulk_deseq2,sample_barcode,Tctn3,24.241166357394565,0.13218634845566277,0.13902074802245132,1.0279938006557074,0.3106303323809844,0.7573753777349029,12491,0.7573753777349029
GSE250136,pseudobulk_deseq2,sample_barcode,Ccnj,79.91625887713853,-0.08461008062615406,0.08789692705165114,0.9658814606132466,0.3257094830605804,0.7653612283132621,12491,0.7653612283132621
