study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Caprin2,112.0765883101242,0.03030876367621773,0.07117582125697938,0.42582949014087706,0.6702320965582627,0.9375524399894222,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm43913,3.227209839692182,0.412502475880436,0.37167451392928097,1.109848699388959,0.2670642298633992,0.7663821329050786,0.9040573602942739
GSE250136,pseudobulk_deseq2,sample_barcode,Sinhcaf,1668.1901616705977,0.003833228572786161,0.020494690586804077,0.18703520097318588,0.8516330335300354,0.9741872676479945,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,3010003L21Rik,85.13050886789604,-0.1325082267270303,0.09923783105242788,-1.335259198248957,0.1817915277252447,0.6890501524635587,0.8340666973516443
GSE250136,pseudobulk_deseq2,sample_barcode,Dennd5b,433.5906536842718,0.030960134123655513,0.048271697468212416,0.6413723930889978,0.5212807649767912,0.8895049250005772,0.9877305737788565
GSE250136,pseudobulk_deseq2,sample_barcode,Etfbkmt,29.133065612863152,-0.03698985244549827,0.13291283886559183,-0.2783015753873429,0.7807808668863141,0.9569124249934287,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Amn1,171.95768114781927,-0.019918431062593958,0.058170049751555306,-0.3424172945986073,0.7320368750762138,0.9470834004715817,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Resf1,795.5029639918992,-0.058273273565191,0.039478074308971225,-1.4760920988476036,0.13991916969812798,0.6423330362975647,0.790518727531918
GSE250136,pseudobulk_deseq2,sample_barcode,Bicd1,172.88671445336172,0.004230179577081885,0.07529980020089926,0.05617783268741484,0.9552001402223742,0.990336646929954,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm21814,62.47985070357958,0.11170459547785594,0.11797184102237539,0.9468750721341141,0.3437024416956458,0.8134350429743639,0.9376434437092874
GSE250136,pseudobulk_deseq2,sample_barcode,AU018091,17.56860017266348,-0.012114825664846634,0.46380347722663906,-0.02612060120223438,0.9791611452845919,0.9944295991268313,0.9954698380513121
GSE250136,pseudobulk_deseq2,sample_barcode,Nlrp12,0.23637694591257044,0.5653217032925674,1.3341696810045218,0.4237254910986479,0.6717660224289419,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Myadm,30.310573568629966,-0.0011419642446583783,0.1241338453741346,-0.009199459190332356,0.9926599970752454,0.9973763663572431,0.9975542339404131
GSE250136,pseudobulk_deseq2,sample_barcode,Prkcg,2.148475378138885,0.3705231307830017,0.4604928836902135,0.8046229244929287,0.42103730912959475,NA,0.9711860370098108
GSE250136,pseudobulk_deseq2,sample_barcode,Cacng7,31.726563758644314,0.13321638550435064,0.13676599543132292,0.9740461076177761,0.3300336463341671,0.8068614408588308,0.9317152630708004
GSE250136,pseudobulk_deseq2,sample_barcode,Gm44257,0.17471731721512318,-0.3522925616105914,1.5381175876409199,-0.22904137137585062,0.8188367609747844,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Cacng8,1.5932306175077535,-0.23292688014273435,0.635787807782336,-0.36635946347445153,0.7140968636512881,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,3300002P13Rik,1.3929805392904535,-0.33075449310425464,0.6024377446292912,-0.54902684311021,0.5829870284825995,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Cacng6,3.321901873594217,-0.17993027477032006,0.39603054658923686,-0.45433433435866716,0.6495882074256693,0.9321047581938661,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Tarm1,1.9866254975383808,-0.13992460010152932,0.649242617087127,-0.21551974010780584,0.8293621232791984,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Oscar,0.22368807247353847,-0.37289991574050674,1.4687898216170068,-0.2538824209238985,0.799586396006166,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Ndufa3,944.1144832119778,-0.04915965554815615,0.03253026682542148,-1.511197427674933,0.13073815760091254,0.627101498994385,0.7767596947971644
GSE250136,pseudobulk_deseq2,sample_barcode,Tfpt,130.13986288541622,0.005262589050751787,0.06269629015147882,0.08393780617700007,0.9331058806268976,0.9877815897253698,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Prpf31,505.5252103948097,-0.013542736641087917,0.031176217580207322,-0.4343931910997991,0.6640029413312962,0.9361412611320905,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm15927,1.9554673676125762,-0.7603443126080762,0.5142963485393451,-1.478416704235861,0.13929627703834244,NA,0.7891448134624317
GSE250136,pseudobulk_deseq2,sample_barcode,Cnot3,571.0462559596443,0.03619993656779507,0.0322522199752266,1.122401391147672,0.26169181325392427,0.758077690505633,0.8965322217521032
GSE250136,pseudobulk_deseq2,sample_barcode,Leng1,70.07197359044136,-0.08820110188490578,0.08116653430174015,-1.0866683251130855,0.2771834172945145,0.7723154180367147,0.9094964636740189
GSE250136,pseudobulk_deseq2,sample_barcode,Tmc4,14.384942041310012,-0.2514815054876085,0.18608598525461814,-1.3514263588604527,0.17655889489181772,0.6836145354150437,0.8296916916851609
GSE250136,pseudobulk_deseq2,sample_barcode,Gm15929,0.9522536434908565,-0.2251465173629374,0.7887790429543277,-0.2854367384301486,0.7753095644929083,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Mboat7,100.25860834836782,-0.02322253346786852,0.06859945854153983,-0.3385235679929792,0.734968669676001,0.9477979602916334,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Tsen34,915.2435074232142,0.014601041740702864,0.029815413703354547,0.48971454449616086,0.6243359083365357,0.9250043229418828,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Rps9,28675.26089554495,0.003694894864818758,0.021137166954456194,0.17480558642414426,0.8612323985974277,0.9761012001782373,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Pirb,11.854904905631228,-0.10574414397004332,0.23318643301010594,-0.45347468377570893,0.650206968974838,0.9324241708357304,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,9430041J12Rik,0.06789259781494981,0.5988990747071101,2.5558143389553933,0.23432808306095146,0.8147302856232812,NA,0.9939750250947177
