study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,n_selected_genes,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Dvl1,H,Morphotypeneural_bias,0.22690350263768172,NA,NA,NA,NA,0.005255614926183427,0.005255614926183427,11573,0.48329234907477503,0.07785355810063055,0.08917083631165118,0.0825914565721553
GSE250136,mast,sample_single_cell,Dvl2,H,Morphotypeneural_bias,0.87385142286208,NA,NA,NA,NA,0.004422744126219569,0.004422744126219569,11573,0.9409681595241718,0.21670312701068073,0.23087919942816298,0.22263783945537519
GSE250136,mast,sample_single_cell,Dvl3,H,Morphotypeneural_bias,0.2142962255107466,NA,NA,NA,NA,-0.0012774864839486533,-0.0012774864839486533,11573,0.4663975778842128,0.2619997426328658,0.26590421729807007,0.2636343233335827
GSE250136,mast,sample_single_cell,Dxo,H,Morphotypeneural_bias,0.6586256702181931,NA,NA,NA,NA,-0.005851310059394377,-0.005851310059394377,11573,0.82378039945578585,0.1569939518723459,0.16047176554681916,0.15844991396723274
GSE250136,mast,sample_single_cell,Dym,H,Morphotypeneural_bias,0.3306813206973491,NA,NA,NA,NA,-0.013375402161461103,-0.013375402161461103,11573,0.5919182974579166,0.22583966027538283,0.226590421729807,0.22615396124784917
GSE250136,mast,sample_single_cell,Dync1h1,H,Morphotypeneural_bias,1.5859252159148388e-7,NA,NA,NA,NA,0.12709725655558124,0.12709725655558124,11573,4.033478373311322e-6,0.5741860764380389,0.6100786275911365,0.5892122390962818
GSE250136,mast,sample_single_cell,Dync1i2,H,Morphotypeneural_bias,0.9007696162507404,NA,NA,NA,NA,0.011782838226288117,0.011782838226288117,11573,0.9531455223810805,0.8116072577531849,0.813795568263045,0.8125233784693648
GSE250136,mast,sample_single_cell,Dync1li1,H,Morphotypeneural_bias,0.14461732666808927,NA,NA,NA,NA,-0.034971120632732,-0.034971120632732,11573,0.3740964094912677,0.5207823960880196,0.5196568977841315,0.5203112141841849
GSE250136,mast,sample_single_cell,Dync1li2,H,Morphotypeneural_bias,0.10974162309908207,NA,NA,NA,NA,0.028574383472443066,0.028574383472443066,11573,0.31972055954244155,0.3594132029339853,0.38384560400285916,0.3696416548215755
GSE250136,mast,sample_single_cell,Dync2h1,H,Morphotypeneural_bias,0.003267703547825846,NA,NA,NA,NA,0.0382617909328255,0.0382617909328255,11573,0.024893920642159773,0.293141165873118,0.3218370264474625,0.30515448492556296
GSE250136,mast,sample_single_cell,Dync2li1,H,Morphotypeneural_bias,0.007670384501085971,NA,NA,NA,NA,0.017419912782319247,0.017419912782319247,11573,0.048866969907873585,0.22120705185947753,0.23641887062187278,0.2275753721852323
GSE250136,mast,sample_single_cell,Dynll1,H,Morphotypeneural_bias,0.1877636926753836,NA,NA,NA,NA,0.1561440600149524,0.1561440600149524,11573,0.4337548849964809,0.9841719212456569,0.9842744817726948,0.9842148574848507
GSE250136,mast,sample_single_cell,Dynll2,H,Morphotypeneural_bias,0.0031973208258692944,NA,NA,NA,NA,0.09960705118070123,0.09960705118070123,11573,0.024438174766816034,0.8023420409213743,0.8102215868477484,0.8056407570883519
GSE250136,mast,sample_single_cell,Dynlrb1,H,Morphotypeneural_bias,0.009216853339570934,NA,NA,NA,NA,-0.05993564523331352,-0.05993564523331352,11573,0.056522218784056624,0.8005404709818557,0.7828806290207291,0.7931473030597741
GSE250136,mast,sample_single_cell,Dynlt1a,H,Morphotypeneural_bias,0.3972546663645244,NA,NA,NA,NA,0.005441088683736273,0.005441088683736273,11573,0.6466494583162578,0.11632994466606614,0.12491065046461758,0.11992219645395377
GSE250136,mast,sample_single_cell,Dynlt1b,H,Morphotypeneural_bias,0.1970097710403346,NA,NA,NA,NA,0.005084489038339392,0.005084489038339392,11573,0.44527286532788124,0.028053017629648694,0.03538241601143674,0.031121418418493304
GSE250136,mast,sample_single_cell,Dynlt1f,H,Morphotypeneural_bias,0.06124786273540005,NA,NA,NA,NA,-0.020895583355290515,-0.020895583355290515,11573,0.2225306962555885,0.39763222236520396,0.40475339528234455,0.40061345103613377
GSE250136,mast,sample_single_cell,Dynlt3,H,Morphotypeneural_bias,0.14647605178407064,NA,NA,NA,NA,-0.017470271140975213,-0.017470271140975213,11573,0.3768556644386988,0.2313730536610475,0.22641172265904216,0.22929602753048553
GSE250136,mast,sample_single_cell,Dyrk1a,H,Morphotypeneural_bias,0.8634532633680976,NA,NA,NA,NA,-0.0025707223202415808,-0.0025707223202415808,11573,0.9357332150368309,0.36674816625916873,0.37526804860614726,0.37031495473928333
GSE250136,mast,sample_single_cell,Dyrk1b,H,Morphotypeneural_bias,0.16714876670221804,NA,NA,NA,NA,-0.006810463154423234,-0.006810463154423234,11573,0.407512669787495,0.053661047484236266,0.049857040743388134,0.05206852696940226
GSE250136,mast,sample_single_cell,Dyrk2,H,Morphotypeneural_bias,0.08719596896679647,NA,NA,NA,NA,-0.026645168473912906,-0.026645168473912906,11573,0.2785841393936413,0.32994466606614337,0.3246962115796998,0.3277474377197576
GSE250136,mast,sample_single_cell,Dyrk3,H,Morphotypeneural_bias,0.4850699936835163,NA,NA,NA,NA,0.009542305759655256,0.009542305759655256,11573,0.713062749860982,0.19405481919958822,0.20889921372408862,0.2002693199670831
GSE250136,mast,sample_single_cell,Dzip1,H,Morphotypeneural_bias,0.2420323005164816,NA,NA,NA,NA,0.012130156914634926,0.012130156914634926,11573,0.49933995036133444,0.20512160597091753,0.2210507505360972,0.21179022967008304
GSE250136,mast,sample_single_cell,Dzip1l,H,Morphotypeneural_bias,0.5699282064625386,NA,NA,NA,NA,0.0060384431473962386,0.0060384431473962386,11573,0.7719111897453765,0.12881225067558874,0.14027877055039314,0.13361262811401212
GSE250136,mast,sample_single_cell,Dzip3,H,Morphotypeneural_bias,0.993757973915254,NA,NA,NA,NA,-0.0015768507163400614,-0.0015768507163400614,11573,0.9986771406120121,0.38141809290953543,0.3913509649749821,0.38557641954065985
GSE250136,mast,sample_single_cell,E030030I06Rik,H,Morphotypeneural_bias,0.09380789479634374,NA,NA,NA,NA,0.006116556967485934,0.006116556967485934,11573,0.2919676136384169,0.07064727834255566,0.07612580414581845,0.07294082441834368
GSE250136,mast,sample_single_cell,E130102H24Rik,H,Morphotypeneural_bias,0.528679119002288,NA,NA,NA,NA,-0.0031177140500080885,-0.0031177140500080885,11573,0.743859466461876,0.03654613305880839,0.03520371694067191,0.03598414004638288
GSE250136,mast,sample_single_cell,E130307A14Rik,H,Morphotypeneural_bias,0.686032874510353,NA,NA,NA,NA,-0.0058564475031347984,-0.0058564475031347984,11573,0.8400109085215403,0.24861665165358385,0.25303788420300216,0.2504675693872971
GSE250136,mast,sample_single_cell,E130308A19Rik,H,Morphotypeneural_bias,0.9710510679740791,NA,NA,NA,NA,-0.002682773017286033,-0.002682773017286033,11573,0.9871558574616228,0.4501351177454639,0.45961401000714797,0.45410338894291913
GSE250136,mast,sample_single_cell,E130309D02Rik,H,Morphotypeneural_bias,0.18873600310198335,NA,NA,NA,NA,0.0014017472800318953,0.0014017472800318953,11573,0.435243728157862,0.2769270364174495,0.2819871336669049,0.2790454103388943
